Word = alice, Frequency = 385
Word = know, Frequency = 86
Word = thought, Frequency = 74
Word = queen, Frequency = 68
Word = king, Frequency = 61
Word = dont, Frequency = 60
Word = turtle, Frequency = 56
Word = mock, Frequency = 56
Word = hatter, Frequency = 55
Word = gryphon, Frequency = 54
Word = think, Frequency = 53
Word = head, Frequency = 48
Word = voice, Frequency = 47
Word = looked, Frequency = 45
Word = rabbit, Frequency = 43
Word = tone, Frequency = 40
Word = dormouse, Frequency = 39
Word = back, Frequency = 38
Word = duchess, Frequency = 38
Word = mouse, Frequency = 38
Word = oh, Frequency = 38
Word = cat, Frequency = 35
Word = ive, Frequency = 34
Word = thats, Frequency = 33
Word = march, Frequency = 33
Word = ill, Frequency = 33
Word = hare, Frequency = 31
Word = put, Frequency = 31
Word = tell, Frequency = 31
Word = right, Frequency = 31
Word = looking, Frequency = 31
Word = heard, Frequency = 30
Word = white, Frequency = 30
Word = replied, Frequency = 29
Word = moment, Frequency = 29
Word = door, Frequency = 29
Word = dear, Frequency = 29
Word = look, Frequency = 28
Word = cant, Frequency = 28
Word = caterpillar, Frequency = 27
Word = poor, Frequency = 27
Word = eyes, Frequency = 27
Word = course, Frequency = 25
Word = wont, Frequency = 24
Word = took, Frequency = 24
Word = sure, Frequency = 24
Word = theres, Frequency = 24
Word = youre, Frequency = 23
Word = added, Frequency = 23
Word = felt, Frequency = 23
Word = wish, Frequency = 21
Word = find, Frequency = 21
Word = minute, Frequency = 21
Word = words, Frequency = 21
Word = hand, Frequency = 20
Word = sort, Frequency = 20
Word = cried, Frequency = 20
Word = feet, Frequency = 19
Word = tried, Frequency = 19
Word = curious, Frequency = 19
Word = house, Frequency = 18
Word = court, Frequency = 18
Word = soup, Frequency = 18
Word = wonder, Frequency = 18
Word = eat, Frequency = 18
Word = table, Frequency = 18
Word = talking, Frequency = 17
Word = question, Frequency = 17
Word = jury, Frequency = 17
Word = asked, Frequency = 17
Word = sat, Frequency = 17
Word = side, Frequency = 17
Word = hastily, Frequency = 16
Word = doesnt, Frequency = 16
Word = ran, Frequency = 16
Word = bit, Frequency = 16
Word = turned, Frequency = 16
Word = garden, Frequency = 15
Word = called, Frequency = 15
Word = saying, Frequency = 15
Word = cats, Frequency = 15
Word = idea, Frequency = 15
Word = left, Frequency = 14
Word = beautiful, Frequency = 14
Word = anxiously, Frequency = 14
Word = trying, Frequency = 14
Word = talk, Frequency = 14
Word = mad, Frequency = 14
Word = remember, Frequency = 14
Word = face, Frequency = 14
Word = silence, Frequency = 14
Word = air, Frequency = 14
Word = speak, Frequency = 14
Word = didnt, Frequency = 14
Word = set, Frequency = 14
Word = knew, Frequency = 14
Word = hear, Frequency = 14
Word = suppose, Frequency = 14
Word = size, Frequency = 13
Word = room, Frequency = 13
Word = dodo, Frequency = 13
Word = baby, Frequency = 13
Word = people, Frequency = 13
Word = wouldnt, Frequency = 13
Word = close, Frequency = 13
Word = theyre, Frequency = 13
Word = dance, Frequency = 13
Word = suddenly, Frequency = 13
Word = grow, Frequency = 13
Word = sea, Frequency = 13
Word = change, Frequency = 13
Word = cook, Frequency = 13
Word = tea, Frequency = 12
Word = chapter, Frequency = 12
Word = pigeon, Frequency = 12
Word = try, Frequency = 12
Word = alices, Frequency = 12
Word = majesty, Frequency = 12
Word = bill, Frequency = 12
Word = afraid, Frequency = 12
Word = finished, Frequency = 12
Word = hands, Frequency = 12
Word = arm, Frequency = 12
Word = game, Frequency = 12
Word = turning, Frequency = 12
Word = deal, Frequency = 12
Word = queer, Frequency = 11
Word = minutes, Frequency = 11
Word = glad, Frequency = 11
Word = hurry, Frequency = 11
Word = waited, Frequency = 11
Word = wasnt, Frequency = 11
Word = dinah, Frequency = 11
Word = hurried, Frequency = 11
Word = read, Frequency = 11
Word = ask, Frequency = 11
Word = heads, Frequency = 11
Word = tears, Frequency = 11
Word = id, Frequency = 11
Word = thinking, Frequency = 11
Word = life, Frequency = 11
Word = growing, Frequency = 11
Word = youd, Frequency = 10
Word = turn, Frequency = 10
Word = conversation, Frequency = 10
Word = walked, Frequency = 10
Word = remarked, Frequency = 10
Word = child, Frequency = 10
Word = glass, Frequency = 10
Word = mean, Frequency = 10
Word = bottle, Frequency = 10
Word = mind, Frequency = 10
Word = explain, Frequency = 10
Word = witness, Frequency = 10
Word = word, Frequency = 10
Word = pool, Frequency = 10
Word = offended, Frequency = 10
Word = soldiers, Frequency = 10
Word = repeated, Frequency = 10
Word = name, Frequency = 10
Word = gloves, Frequency = 10
Word = mouth, Frequency = 10
Word = fan, Frequency = 10
Word = opened, Frequency = 10
Word = remark, Frequency = 10
Word = rest, Frequency = 10
Word = foot, Frequency = 10
Word = footman, Frequency = 10
Word = sitting, Frequency = 10
Word = lessons, Frequency = 10
Word = children, Frequency = 10
Word = sight, Frequency = 10
Word = creatures, Frequency = 10
Word = hall, Frequency = 9
Word = matter, Frequency = 9
Word = shook, Frequency = 9
Word = shouted, Frequency = 9
Word = tail, Frequency = 9
Word = answer, Frequency = 9
Word = hold, Frequency = 9
Word = puzzled, Frequency = 9
Word = waiting, Frequency = 9
Word = timidly, Frequency = 9
Word = interrupted, Frequency = 9
Word = coming, Frequency = 9
Word = believe, Frequency = 9
Word = birds, Frequency = 9
Word = leave, Frequency = 9
Word = knave, Frequency = 9
Word = serpent, Frequency = 9
Word = reason, Frequency = 9
Word = angrily, Frequency = 9
Word = call, Frequency = 9
Word = couldnt, Frequency = 9
Word = rate, Frequency = 9
Word = join, Frequency = 9
Word = key, Frequency = 9
Word = continued, Frequency = 9
Word = help, Frequency = 9
Word = sister, Frequency = 8
Word = hard, Frequency = 8
Word = live, Frequency = 8
Word = slowly, Frequency = 8
Word = pig, Frequency = 8
Word = havent, Frequency = 8
Word = watch, Frequency = 8
Word = happen, Frequency = 8
Word = opportunity, Frequency = 8
Word = lying, Frequency = 8
Word = feel, Frequency = 8
Word = dry, Frequency = 8
Word = exactly, Frequency = 8
Word = meaning, Frequency = 8
Word = twinkle, Frequency = 8
Word = eagerly, Frequency = 8
Word = work, Frequency = 8
Word = moral, Frequency = 8
Word = running, Frequency = 8
Word = gardeners, Frequency = 8
Word = queens, Frequency = 8
Word = noticed, Frequency = 8
Word = window, Frequency = 8
Word = play, Frequency = 8
Word = itll, Frequency = 8
Word = hadnt, Frequency = 8
Word = beg, Frequency = 8
Word = party, Frequency = 8
Word = whiting, Frequency = 8
Word = sit, Frequency = 8
Word = appeared, Frequency = 8
Word = mushroom, Frequency = 8
Word = story, Frequency = 8
Word = changed, Frequency = 8
Word = asleep, Frequency = 8
Word = place, Frequency = 8
Word = hearts, Frequency = 8
Word = nose, Frequency = 8
Word = top, Frequency = 7
Word = pepper, Frequency = 7
Word = manage, Frequency = 7
Word = golden, Frequency = 7
Word = bright, Frequency = 7
Word = grown, Frequency = 7
Word = fetch, Frequency = 7
Word = listen, Frequency = 7
Word = wondering, Frequency = 7
Word = history, Frequency = 7
Word = chin, Frequency = 7
Word = business, Frequency = 7
Word = shoes, Frequency = 7
Word = song, Frequency = 7
Word = nonsense, Frequency = 7
Word = repeat, Frequency = 7
Word = trees, Frequency = 7
Word = middle, Frequency = 7
Word = open, Frequency = 7
Word = wood, Frequency = 7
Word = lobster, Frequency = 7
Word = lory, Frequency = 7
Word = fall, Frequency = 7
Word = isnt, Frequency = 7
Word = learn, Frequency = 7
Word = neck, Frequency = 7
Word = evidence, Frequency = 7
Word = hedgehog, Frequency = 7
Word = trial, Frequency = 7
Word = shes, Frequency = 7
Word = eye, Frequency = 7
Word = distance, Frequency = 7
Word = book, Frequency = 7
Word = happened, Frequency = 7
Word = pleased, Frequency = 7
Word = slates, Frequency = 7
Word = deep, Frequency = 7
Word = sir, Frequency = 7
Word = william, Frequency = 7
Word = drink, Frequency = 7
Word = cheshire, Frequency = 7
Word = world, Frequency = 7
Word = draw, Frequency = 7
Word = feeling, Frequency = 7
Word = dream, Frequency = 7
Word = stood, Frequency = 7
Word = surprised, Frequency = 7
Word = silent, Frequency = 7
Word = tarts, Frequency = 7
Word = soooop, Frequency = 7
Word = frightened, Frequency = 7
Word = tired, Frequency = 7
Word = begun, Frequency = 7
Word = goes, Frequency = 7
Word = hair, Frequency = 7
Word = youth, Frequency = 6
Word = sneezing, Frequency = 6
Word = roof, Frequency = 6
Word = write, Frequency = 6
Word = understand, Frequency = 6
Word = pardon, Frequency = 6
Word = arms, Frequency = 6
Word = youve, Frequency = 6
Word = late, Frequency = 6
Word = full, Frequency = 6
Word = youll, Frequency = 6
Word = forgotten, Frequency = 6
Word = stand, Frequency = 6
Word = subject, Frequency = 6
Word = liked, Frequency = 6
Word = adventures, Frequency = 6
Word = fell, Frequency = 6
Word = melancholy, Frequency = 6
Word = leaves, Frequency = 6
Word = father, Frequency = 6
Word = jumped, Frequency = 6
Word = ear, Frequency = 6
Word = loud, Frequency = 6
Word = nice, Frequency = 6
Word = told, Frequency = 6
Word = sharp, Frequency = 6
Word = shant, Frequency = 6
Word = english, Frequency = 6
Word = broken, Frequency = 6
Word = exclaimed, Frequency = 6
Word = grin, Frequency = 6
Word = marked, Frequency = 6
Word = stupid, Frequency = 6
Word = puppy, Frequency = 6
Word = trembling, Frequency = 6
Word = trouble, Frequency = 6
Word = sentence, Frequency = 6
Word = politely, Frequency = 6
Word = executed, Frequency = 6
Word = croquet, Frequency = 6
Word = written, Frequency = 6
Word = dreadfully, Frequency = 6
Word = inches, Frequency = 6
Word = lobsters, Frequency = 6
Word = chorus, Frequency = 6
Word = temper, Frequency = 5
Word = faces, Frequency = 5
Word = strange, Frequency = 5
Word = young, Frequency = 5
Word = pocket, Frequency = 5
Word = lets, Frequency = 5
Word = swam, Frequency = 5
Word = direction, Frequency = 5
Word = walk, Frequency = 5
Word = quietly, Frequency = 5
Word = pack, Frequency = 5
Word = cut, Frequency = 5
Word = school, Frequency = 5
Word = sighed, Frequency = 5
Word = swim, Frequency = 5
Word = jurymen, Frequency = 5
Word = asking, Frequency = 5
Word = pair, Frequency = 5
Word = remembered, Frequency = 5
Word = hookah, Frequency = 5
Word = meant, Frequency = 5
Word = curiosity, Frequency = 5
Word = tree, Frequency = 5
Word = twice, Frequency = 5
Word = crowded, Frequency = 5
Word = ears, Frequency = 5
Word = hot, Frequency = 5
Word = reply, Frequency = 5
Word = confusion, Frequency = 5
Word = passed, Frequency = 5
Word = notice, Frequency = 5
Word = home, Frequency = 5
Word = dropped, Frequency = 5
Word = executioner, Frequency = 5
Word = man, Frequency = 5
Word = waving, Frequency = 5
Word = procession, Frequency = 5
Word = height, Frequency = 5
Word = impatiently, Frequency = 5
Word = stay, Frequency = 5
Word = surprise, Frequency = 5
Word = breadandbutter, Frequency = 5
Word = rule, Frequency = 5
Word = sleepy, Frequency = 5
Word = finger, Frequency = 5
Word = altogether, Frequency = 5
Word = walking, Frequency = 5
Word = whispered, Frequency = 5
Word = moved, Frequency = 5
Word = whats, Frequency = 5
Word = finish, Frequency = 5
Word = chimney, Frequency = 5
Word = lizard, Frequency = 5
Word = happens, Frequency = 5
Word = shouldnt, Frequency = 5
Word = number, Frequency = 5
Word = eggs, Frequency = 5
Word = sounded, Frequency = 5
Word = aloud, Frequency = 5
Word = nervous, Frequency = 5
Word = fancy, Frequency = 5
Word = case, Frequency = 5
Word = prizes, Frequency = 5
Word = wrong, Frequency = 5
Word = shut, Frequency = 5
Word = nearer, Frequency = 5
Word = flamingo, Frequency = 5
Word = ah, Frequency = 5
Word = angry, Frequency = 5
Word = sudden, Frequency = 5
Word = piece, Frequency = 5
Word = animals, Frequency = 5
Word = sadly, Frequency = 5
Word = knee, Frequency = 5
Word = interesting, Frequency = 5
Word = drew, Frequency = 5
Word = speaking, Frequency = 5
Word = morning, Frequency = 5
Word = instantly, Frequency = 5
Word = usual, Frequency = 5
Word = kid, Frequency = 5
Word = shriek, Frequency = 5
Word = dare, Frequency = 5
Word = treacle, Frequency = 5
Word = shrill, Frequency = 5
Word = frowning, Frequency = 4
Word = quadrille, Frequency = 4
Word = twinkling, Frequency = 4
Word = thoughtfully, Frequency = 4
Word = mabel, Frequency = 4
Word = ordered, Frequency = 4
Word = thank, Frequency = 4
Word = days, Frequency = 4
Word = sharply, Frequency = 4
Word = creature, Frequency = 4
Word = ventured, Frequency = 4
Word = solemnly, Frequency = 4
Word = beauootiful, Frequency = 4
Word = capital, Frequency = 4
Word = lay, Frequency = 4
Word = theyd, Frequency = 4
Word = says, Frequency = 4
Word = rabbits, Frequency = 4
Word = led, Frequency = 4
Word = perfectly, Frequency = 4
Word = kitchen, Frequency = 4
Word = escape, Frequency = 4
Word = dogs, Frequency = 4
Word = doubt, Frequency = 4
Word = uncomfortable, Frequency = 4
Word = hours, Frequency = 4
Word = yer, Frequency = 4
Word = fallen, Frequency = 4
Word = verses, Frequency = 4
Word = pale, Frequency = 4
Word = players, Frequency = 4
Word = tiny, Frequency = 4
Word = means, Frequency = 4
Word = fellow, Frequency = 4
Word = beat, Frequency = 4
Word = sobs, Frequency = 4
Word = pointing, Frequency = 4
Word = consider, Frequency = 4
Word = water, Frequency = 4
Word = puzzling, Frequency = 4
Word = sounds, Frequency = 4
Word = grass, Frequency = 4
Word = hearing, Frequency = 4
Word = taught, Frequency = 4
Word = arches, Frequency = 4
Word = tale, Frequency = 4
Word = porpoise, Frequency = 4
Word = paws, Frequency = 4
Word = busily, Frequency = 4
Word = decidedly, Frequency = 4
Word = fear, Frequency = 4
Word = confused, Frequency = 4
Word = true, Frequency = 4
Word = breath, Frequency = 4
Word = suppressed, Frequency = 4
Word = stick, Frequency = 4
Word = boots, Frequency = 4
Word = honour, Frequency = 4
Word = bats, Frequency = 4
Word = answered, Frequency = 4
Word = mary, Frequency = 4
Word = tongue, Frequency = 4
Word = pictures, Frequency = 4
Word = writing, Frequency = 4
Word = bottom, Frequency = 4
Word = paper, Frequency = 4
Word = thimble, Frequency = 4
Word = fast, Frequency = 4
Word = trials, Frequency = 4
Word = duck, Frequency = 4
Word = turtles, Frequency = 4
Word = age, Frequency = 4
Word = shoulders, Frequency = 4
Word = judge, Frequency = 4
Word = rosetree, Frequency = 4
Word = alas, Frequency = 4
Word = jumping, Frequency = 4
Word = today, Frequency = 4
Word = ann, Frequency = 4
Word = shoulder, Frequency = 4
Word = wanted, Frequency = 4
Word = worth, Frequency = 4
Word = bowed, Frequency = 4
Word = theyll, Frequency = 4
Word = run, Frequency = 4
Word = jurors, Frequency = 4
Word = girl, Frequency = 4
Word = difficulty, Frequency = 4
Word = jurybox, Frequency = 4
Word = vanished, Frequency = 4
Word = green, Frequency = 4
Word = severely, Frequency = 4
Word = plan, Frequency = 4
Word = lives, Frequency = 4
Word = care, Frequency = 4
Word = sides, Frequency = 4
Word = stuff, Frequency = 4
Word = screamed, Frequency = 4
