Word = frowning, Frequency = 4
Word = nicely, Frequency = 2
Word = thingsi, Frequency = 1
Word = speakand, Frequency = 1
Word = hall, Frequency = 9
Word = explanation, Frequency = 2
Word = pretend, Frequency = 1
Word = youth, Frequency = 6
Word = kettle, Frequency = 1
Word = quadrille, Frequency = 4
Word = tea, Frequency = 12
Word = twinkling, Frequency = 4
Word = drunk, Frequency = 2
Word = introduced, Frequency = 1
Word = treaclewelleh, Frequency = 1
Word = rabbit, Frequency = 43
Word = legs, Frequency = 3
Word = yetoh, Frequency = 1
Word = flapper, Frequency = 1
Word = , Frequency = 1
Word = youd, Frequency = 10
Word = prison, Frequency = 1
Word = sister, Frequency = 8
Word = blasts, Frequency = 2
Word = solid, Frequency = 1
Word = chimneys, Frequency = 1
Word = spreading, Frequency = 1
Word = size, Frequency = 13
Word = remarking, Frequency = 3
Word = left, Frequency = 14
Word = temper, Frequency = 5
Word = wink, Frequency = 2
Word = baked, Frequency = 1
Word = thoughtfully, Frequency = 4
Word = executioners, Frequency = 1
Word = wine, Frequency = 2
Word = wind, Frequency = 2
Word = humble, Frequency = 1
Word = chapter, Frequency = 12
Word = telling, Frequency = 2
Word = airs, Frequency = 1
Word = concluded, Frequency = 2
Word = talking, Frequency = 17
Word = turn, Frequency = 10
Word = balanced, Frequency = 1
Word = youre, Frequency = 23
Word = result, Frequency = 1
Word = arrived, Frequency = 1
Word = corners, Frequency = 1
Word = chrysalisyou, Frequency = 1
Word = bowing, Frequency = 1
Word = curiouser, Frequency = 2
Word = mabel, Frequency = 4
Word = stirring, Frequency = 2
Word = woodshe, Frequency = 1
Word = multiplication, Frequency = 1
Word = quiet, Frequency = 2
Word = stupidest, Frequency = 1
Word = hand, Frequency = 20
Word = minea, Frequency = 1
Word = uglification, Frequency = 2
Word = ordered, Frequency = 4
Word = salt, Frequency = 2
Word = stingy, Frequency = 1
Word = eating, Frequency = 1
Word = prettier, Frequency = 1
Word = straight, Frequency = 2
Word = lips, Frequency = 1
Word = humbly, Frequency = 2
Word = throw, Frequency = 3
Word = fifth, Frequency = 1
Word = thank, Frequency = 4
Word = days, Frequency = 4
Word = arch, Frequency = 1
Word = faces, Frequency = 5
Word = returned, Frequency = 2
Word = violent, Frequency = 2
Word = sharply, Frequency = 4
Word = empty, Frequency = 1
Word = wish, Frequency = 21
Word = tie, Frequency = 1
Word = pigs, Frequency = 2
Word = wise, Frequency = 2
Word = ferrets, Frequency = 2
Word = wheres, Frequency = 2
Word = ambition, Frequency = 1
Word = conversation, Frequency = 10
Word = laugh, Frequency = 1
Word = roared, Frequency = 1
Word = eyestell, Frequency = 1
Word = rome, Frequency = 1
Word = singers, Frequency = 2
Word = murder, Frequency = 1
Word = pat, Frequency = 2
Word = invitation, Frequency = 2
Word = dinahll, Frequency = 2
Word = paw, Frequency = 3
Word = enormous, Frequency = 1
Word = clearer, Frequency = 1
Word = list, Frequency = 3
Word = marmalade, Frequency = 1
Word = strange, Frequency = 5
Word = inquired, Frequency = 1
Word = toast, Frequency = 1
Word = sand, Frequency = 1
Word = walked, Frequency = 10
Word = tails, Frequency = 3
Word = soles, Frequency = 1
Word = authority, Frequency = 2
Word = remarked, Frequency = 10
Word = bursting, Frequency = 1
Word = cleared, Frequency = 1
Word = northumbria, Frequency = 2
Word = creature, Frequency = 4
Word = child, Frequency = 10
Word = harm, Frequency = 1
Word = young, Frequency = 5
Word = downwards, Frequency = 1
Word = clinging, Frequency = 1
Word = flown, Frequency = 1
Word = arranged, Frequency = 1
Word = producing, Frequency = 1
Word = sneezing, Frequency = 6
Word = patiently, Frequency = 2
Word = hard, Frequency = 8
Word = hare, Frequency = 31
Word = ridge, Frequency = 1
Word = live, Frequency = 8
Word = ventured, Frequency = 4
Word = lodging, Frequency = 1
Word = roof, Frequency = 6
Word = teatime, Frequency = 2
Word = wits, Frequency = 1
Word = inquisitively, Frequency = 1
Word = room, Frequency = 13
Word = pocked, Frequency = 1
Word = hjckrrh, Frequency = 1
Word = seeneverything, Frequency = 1
Word = flowerpot, Frequency = 1
Word = lady, Frequency = 3
Word = hopeless, Frequency = 1
Word = splash, Frequency = 1
Word = sistersthey, Frequency = 1
Word = pocket, Frequency = 5
Word = wags, Frequency = 1
Word = uglifying, Frequency = 1
Word = considered, Frequency = 3
Word = changing, Frequency = 2
Word = bearmind, Frequency = 1
Word = neverending, Frequency = 1
Word = experiment, Frequency = 2
Word = gained, Frequency = 1
Word = williams, Frequency = 1
Word = struck, Frequency = 2
Word = hate, Frequency = 1
Word = afore, Frequency = 1
Word = flashed, Frequency = 1
Word = write, Frequency = 6
Word = pet, Frequency = 1
Word = order, Frequency = 3
Word = dripping, Frequency = 1
Word = peeped, Frequency = 3
Word = proceed, Frequency = 2
Word = pressed, Frequency = 3
Word = considering, Frequency = 3
Word = impertinent, Frequency = 1
Word = timid, Frequency = 3
Word = distant, Frequency = 2
Word = understand, Frequency = 6
Word = waterwell, Frequency = 1
Word = custody, Frequency = 2
Word = slowly, Frequency = 8
Word = loving, Frequency = 1
Word = unhappy, Frequency = 2
Word = bringing, Frequency = 3
Word = arrum, Frequency = 1
Word = crazy, Frequency = 1
Word = ropewill, Frequency = 1
Word = appearing, Frequency = 1
Word = despair, Frequency = 1
Word = thats, Frequency = 33
Word = engaged, Frequency = 1
Word = queer, Frequency = 11
Word = pink, Frequency = 1
Word = wait, Frequency = 1
Word = woman, Frequency = 2
Word = queen, Frequency = 68
Word = protection, Frequency = 1
Word = solemnly, Frequency = 4
Word = matter, Frequency = 9
Word = shutting, Frequency = 2
Word = footsteps, Frequency = 2
Word = caterpillar, Frequency = 27
Word = top, Frequency = 7
Word = turtlewe, Frequency = 1
Word = noise, Frequency = 3
Word = rapped, Frequency = 1
Word = beauootiful, Frequency = 4
Word = roast, Frequency = 1
Word = violence, Frequency = 1
Word = energetic, Frequency = 1
Word = taller, Frequency = 2
Word = laid, Frequency = 2
Word = question, Frequency = 17
Word = raven, Frequency = 1
Word = wept, Frequency = 1
Word = housemaid, Frequency = 1
Word = vinegar, Frequency = 1
Word = cheap, Frequency = 1
Word = picture, Frequency = 1
Word = cherrytart, Frequency = 1
Word = hippopotamus, Frequency = 1
Word = names, Frequency = 2
Word = trusts, Frequency = 1
Word = rose, Frequency = 1
Word = sluggard, Frequency = 1
Word = teatray, Frequency = 1
Word = tide, Frequency = 1
Word = tonight, Frequency = 1
Word = capital, Frequency = 4
Word = arrow, Frequency = 1
Word = lets, Frequency = 5
Word = manner, Frequency = 2
Word = pie, Frequency = 2
Word = pray, Frequency = 3
Word = pig, Frequency = 8
Word = wake, Frequency = 2
Word = pegs, Frequency = 1
Word = contemptuous, Frequency = 1
Word = spoon, Frequency = 2
Word = lap, Frequency = 2
Word = mineral, Frequency = 1
Word = hated, Frequency = 1
Word = hatec, Frequency = 1
Word = longitude, Frequency = 2
Word = pigeon, Frequency = 12
Word = counting, Frequency = 1
Word = circumstances, Frequency = 1
Word = terror, Frequency = 1
Word = law, Frequency = 2
Word = lay, Frequency = 4
Word = swam, Frequency = 5
Word = pardon, Frequency = 6
Word = kings, Frequency = 3
Word = christmas, Frequency = 1
Word = theyd, Frequency = 4
Word = improve, Frequency = 1
Word = shining, Frequency = 1
Word = try, Frequency = 12
Word = arms, Frequency = 6
Word = twist, Frequency = 2
Word = rudeness, Frequency = 1
Word = patriotic, Frequency = 1
Word = rising, Frequency = 1
Word = hastily, Frequency = 16
Word = replied, Frequency = 29
Word = prisoner, Frequency = 1
Word = cause, Frequency = 3
Word = weve, Frequency = 2
Word = oblong, Frequency = 1
Word = accidentally, Frequency = 1
Word = treaclewell, Frequency = 1
Word = youve, Frequency = 6
Word = vulgar, Frequency = 1
Word = twentieth, Frequency = 1
Word = attending, Frequency = 3
Word = busy, Frequency = 2
Word = milkjug, Frequency = 1
Word = land, Frequency = 1
Word = explanations, Frequency = 1
Word = floor, Frequency = 3
Word = says, Frequency = 4
Word = direction, Frequency = 5
Word = burn, Frequency = 2
Word = tied, Frequency = 1
Word = buttons, Frequency = 1
Word = chief, Frequency = 1
Word = doubtful, Frequency = 2
Word = cry, Frequency = 3
Word = opening, Frequency = 3
Word = hatching, Frequency = 1
Word = burning, Frequency = 1
Word = croquetground, Frequency = 3
Word = pineapple, Frequency = 1
Word = conduct, Frequency = 1
Word = velvet, Frequency = 1
Word = treading, Frequency = 2
Word = machines, Frequency = 1
Word = tidy, Frequency = 1
Word = walk, Frequency = 5
Word = quietly, Frequency = 5
Word = caught, Frequency = 3
Word = fanned, Frequency = 1
Word = rabbits, Frequency = 4
Word = eels, Frequency = 1
Word = concert, Frequency = 2
Word = clamour, Frequency = 1
Word = led, Frequency = 4
Word = pity, Frequency = 3
Word = riddlesi, Frequency = 1
Word = unimportant, Frequency = 3
Word = beautiful, Frequency = 14
Word = tut, Frequency = 2
Word = lessen, Frequency = 1
Word = state, Frequency = 1
Word = scolded, Frequency = 1
Word = welcome, Frequency = 1
Word = meeting, Frequency = 1
Word = cares, Frequency = 2
Word = queerest, Frequency = 1
Word = night, Frequency = 3
Word = pace, Frequency = 1
Word = havent, Frequency = 8
Word = opposite, Frequency = 1
Word = pack, Frequency = 5
Word = himhow, Frequency = 1
Word = supple, Frequency = 1
Word = bawled, Frequency = 1
Word = offend, Frequency = 1
Word = circle, Frequency = 1
Word = memorandum, Frequency = 1
Word = cup, Frequency = 2
Word = cur, Frequency = 1
Word = wasting, Frequency = 2
Word = wandered, Frequency = 2
Word = sourand, Frequency = 1
Word = cut, Frequency = 5
Word = perfectly, Frequency = 4
Word = neatly, Frequency = 2
Word = killing, Frequency = 1
Word = prize, Frequency = 1
Word = raving, Frequency = 2
Word = accident, Frequency = 2
Word = moment, Frequency = 29
Word = piecrust, Frequency = 1
Word = pop, Frequency = 1
Word = calmly, Frequency = 1
Word = pencils, Frequency = 1
